history_id,station_name,province,lon,lat,elevation (m),Tmean,Tmin (degC),Tmax (degC),HDD (degC-day)
2311,ANDREW,AB,-112.233,54.0167,610,3,-32,23,5909
2328,BRETON,AB,-114.483,53.1667,843,4,-26,21,5383
2332,BRIGHTVIEW,AB,-113.717,52.9833,815,3,-30,23,5369
2333,BROWNFIELD,AB,-111.469,52.3192,755,3,-32,24,5519
2336,BUSBY,AB,-113.889,53.9968,701,3,-30,22,5683
2342,CALMAR,AB,-113.863,53.2897,720,3,-31,22,5456
2346,CAMROSE,AB,-112.817,53.05,739,3,-30,22,5548
2351,CHAILEY,AB,-111.25,53.55,670,2,-32,24,5653
2361,CONTRACOSTA LAKE,AB,-111.55,51.7667,792,3,-31,23,5547
2363,CORONATION A,AB,-111.45,52.0667,791,2,-33,22,5719
2365,CORONATION CLIMATE,AB,-111.449,52.0742,791,2,-31,20,5853
2369,DAKOTA WEST,AB,-113.95,52.75,865,3,-30,22,5424
2383,EDMONTON INTERNATIONAL CS,AB,-113.606,53.3067,715,3,-31,21,5709
2385,EDMONTON CITY CENTRE A,AB,-113.518,53.5733,671,4,-28,22,5149
2386,EDMONTON BLATCHFORD,AB,-113.517,53.5731,671,5,-28,23,5088
2387,EDMONTON NAMAO A,AB,-113.467,53.6667,688,3,-28,19,5372
2394,EDMONTON STONY PLAIN,AB,-114.108,53.5475,766,4,-28,22,5176
2395,EDMONTON WOODBEND,AB,-113.75,53.4167,671,3,-30,22,5449
2400,ELK ISLAND NAT PARK,AB,-112.868,53.6828,716,3,-30,22,5495
2403,ELK POINT,AB,-111.067,53.8833,605,1,-35,23,6066
2409,FABYAN,AB,-111,52.9667,698,2,-31,24,5760
2414,FORESTBURG PLANT SITE,AB,-112.12,52.4675,663,5,-29,24,5141
2417,FORT SASKATCHEWAN,AB,-113.183,53.7167,620,3,-31,23,5496
2431,GWYNNE,AB,-113.183,52.95,768,3,-31,22,5532
2441,HIGHVALE,AB,-114.467,53.45,747,4,-27,23,5092
2455,KINSELLA RANCH,AB,-111.517,53,705,3,-29,23,5581
2468,LLOYDMINSTER A,AB,-110.072,53.3092,668,2,-31,22,5839
2499,OLIVER TREE NURSERY,AB,-113.367,53.65,648,3,-31,21,5317
2501,PARADISE VALLEY,AB,-110.35,53.1167,658,2,-33,24,5823
2511,RANFURLY,AB,-111.65,53.45,686,3,-28,24,5698
2513,RANFURLY 2NW,AB,-111.733,53.4167,673,3,-31,24,5635
2519,ROCKY MTN HOUSE A,AB,-114.917,52.4333,988,2,-32,20,5590
2520,ROCKY MTN HOUSE (AUT),AB,-114.912,52.4214,988,2,-30,17,5928
2528,ST LINA,AB,-111.45,54.3,633,1,-33,22,6043
2548,STETTLER NORTH,AB,-112.717,52.3333,821,3,-31,23,5459
2560,TOFIELD NORTH,AB,-112.75,53.55,701,3,-30,22,5408
2562,TULLIBY LAKE,AB,-110.133,53.6667,574,3,-33,24,6010
2570,VEGREVILLE CDA,AB,-112.033,53.4833,636,2,-34,23,5697
2585,VIOLET GROVE CS,AB,-115.126,53.1436,914,4,-26,21,5197
2595,VEGREVILLE,AB,-112.098,53.5053,639,2,-33,22,5818
2600,WETASKIWIN SOUTH,AB,-113.383,52.6333,762,4,-29,23,5177
2601,WINFIELD,AB,-114.583,52.95,910,3,-29,22,5401
2608,EDMONTON STONY PLAIN CS,AB,-114.108,53.5472,766,4,-27,22,5179
2612,ESTHER 1,AB,-110.206,51.6697,707,4,-29,23,5342
2616,HORBURG,AB,-115.2,52.4,1036,4,-26,22,5036
2618,UNIVERSITY OF ALBERTA METABOLIC CENTRE,AB,-113.533,53.5167,668,4,-31,24,5528
2623,REDWATER,AB,-113.183,54,617,2,-34,22,6030
2624,RED WILLOW,AB,-112.567,52.4167,783,3,-30,21,5382
2647,BIG STONE,AB,-111.2,51.1667,774,4,-31,24,5225
2676,CRAIGMYLE,AB,-112.283,51.7667,846,4,-30,24,5353
2692,ECKVILLE SOUTH,AB,-114.391,52.2847,960,3,-29,22,5432
2693,DRUMHELLER EAST,AB,-112.677,51.4453,678,4,-29,23,5044
2695,EMPRESS,AB,-110.006,50.9558,612,5,-32,27,5049
2702,GEM,AB,-112.189,50.9497,764,4,-29,23,5091
2716,JENNER,AB,-111.196,50.7222,755,5,-30,24,4864
2719,LACOMBE CDA,AB,-113.75,52.4667,847,3,-31,22,5506
2720,LACOMBE CDA 2,AB,-113.756,52.4489,860,3,-29,20,5427
2730,MADDEN,AB,-114.324,51.5042,1138,4,-28,22,5160
2732,MIRROR FLETCHER,AB,-113.05,52.45,795,3,-28,21,5335
2738,OLDS,AB,-114.1,51.7833,1040,4,-28,22,5337
2755,RED DEER,AB,-113.792,52.3108,847,4,-29,23,5292
2757,RED DEER A,AB,-113.893,52.1786,905,3,-31,21,5623
2764,SCHULER,AB,-110.086,50.3092,803,5,-30,26,5044
2772,SIBBALD WESTGARD,AB,-110.146,51.4247,724,4,-30,26,5339
2775,SLEEPY HOLLOW,AB,-112.959,51.4919,811,3,-30,22,5504
2780,SUNDRE GARRINGTON,AB,-114.45,51.9667,991,3,-30,21,5467
2787,THREE HILLS,AB,-113.206,51.7675,857,4,-28,21,5239
2800,SUNDRE A,AB,-114.683,51.7781,1114,3,-28,19,5694
2827,BOW ISLAND,AB,-111.45,49.7342,817,6,-29,24,4659
2846,BROOKS,AB,-111.849,50.5553,747,5,-29,22,4923
2862,CARDSTON,AB,-113.242,49.1317,1193,5,-25,24,4582
